,766791,695584,711391,761785,712499,766100,801230,762309,753801,801231
766791,1.0,0.36,0.62,0.62,0.62,0.64,0.29,0.62,0.38,0.29
695584,0.36,1.0,0.27,0.27,0.27,0.29,0.52,0.27,0.23,0.52
711391,0.62,0.27,1.0,1.0,1.0,0.87,0.28,1.0,0.55,0.28
761785,0.62,0.27,1.0,1.0,1.0,0.87,0.28,1.0,0.55,0.28
712499,0.62,0.27,1.0,1.0,1.0,0.87,0.28,1.0,0.55,0.28
766100,0.64,0.29,0.87,0.87,0.87,1.0,0.28,0.87,0.56,0.28
801230,0.29,0.52,0.28,0.28,0.28,0.28,1.0,0.28,0.31,1.0
762309,0.62,0.27,1.0,1.0,1.0,0.87,0.28,1.0,0.55,0.28
753801,0.38,0.23,0.55,0.55,0.55,0.56,0.31,0.55,1.0,0.31
801231,0.29,0.52,0.28,0.28,0.28,0.28,1.0,0.28,0.31,1.0
